1	0053	0336	+1.4	0637	1030	-2.4	1329	1609	+1.3	1906	2255	-2.3	 	 	 
2	0147	0431	+1.4	0730	1125	-2.4	1421	1701	+1.4	1957	2346	-2.4	 	 	 
3	0236	0520	+1.4	0820	1213	-2.4	1508	1747	+1.4	2045	 	 	 	 	 
4	 	0030	-2.4	0323	0605	+1.4	0906	1254	-2.5	1553	1830	+1.4	2129	 	 
5	 	0109	-2.4	0406	0646	+1.4	0950	1332	-2.5	1635	1910	+1.4	2212	 	 
6	 	0146	-2.4	0448	0725	+1.4	1032	1408	-2.5	1716	1947	+1.4	2253	 	 
7	 	0223	-2.4	0529	0803	+1.4	1112	1444	-2.4	1755	2025	+1.4	2333	 	 
8	 	0300	-2.4	0609	0841	+1.4	1153	1521	-2.4	1835	2102	+1.3	 	 	 
9	0013	0339	-2.3	0650	0920	+1.3	1233	1600	-2.4	1916	2141	+1.3	 	 	 
10	0054	0419	-2.3	0732	1000	+1.3	1315	1642	-2.2	1958	2223	+1.2	 	 	 
11	0136	0502	-2.2	0816	1044	+1.2	1359	1726	-2.2	2042	2307	+1.2	 	 	 
12	0221	0548	-2.2	0904	1131	+1.2	1446	1813	-2.1	2129	2355	+1.1	 	 	 
13	0310	0638	-2.1	0955	1222	+1.1	1537	1903	-2.1	2219	 	 	 	 	 
14	 	0047	+1.1	0402	0730	-2.1	1050	1316	+1.1	1632	1957	-2.1	2312	 	 
15	 	0141	+1.2	0456	0826	-2.2	1147	1413	+1.2	1727	2052	-2.2	 	 	 
16	0005	0237	+1.2	0552	0922	-2.3	1242	1509	+1.2	1822	2148	-2.2	 
17	0058	0332	+1.3	0647	1018	-2.4	1335	1604	+1.3	1916	2243	-2.4	 	 	 
18	0150	0425	+1.4	0740	1113	-2.5	1426	1656	+1.4	2008	2336	-2.5	 	 	 
19	0240	0517	+1.5	0832	1205	-2.5	1515	1747	+1.5	2059	 	 	 	 	 
20	 	0028	-2.5	0331	0608	+1.6	0923	1257	-2.6	1604	1836	+1.5	2149	 	 
21	 	0119	-2.6	0421	0658	+1.6	1014	1347	-2.6	1654	1926	+1.6	2239	 	 
22	 	0210	-2.6	0512	0749	+1.6	1105	1437	-2.6	1743	2016	+1.6	2330	 	 
23	 	0301	-2.6	0605	0841	+1.6	1157	1528	-2.6	1835	2108	+1.5	 	 	 
24	0022	0353	-2.6	0659	0934	+1.5	1251	1620	-2.5	1929	2202	+1.5	 	 	 
25	0116	0447	-2.5	0757	1031	+1.4	1347	1715	-2.5	2025	2259	+1.4	 	 	 
26	0213	0544	-2.4	0858	1132	+1.4	1445	1813	-2.3	2126	 	 	 	 	 
27	 	0001	+1.3	0313	0646	-2.3	1002	1237	+1.3	1546	1917	-2.2	2229	 	 
28	 	0108	+1.3	0416	0754	-2.2	1107	1346	+1.2	1649	2027	-2.1	2332	 	 
29	 	0216	+1.3	0518	0908	-2.2	1210	1453	+1.2	1749	2139	-2.1	 	 	 
30	0032	0319	+1.3	0617	1017	-2.2	1308	1552	+1.3	1846	2241	-2.1	 	 	 
31	0127	0414	+1.3	0712	1113	-2.2	1400	1643	+1.3	1937	2332	-2.2	 	 	 
1	0216	0503	+1.4	0801	1158	-2.3	1446	1728	+1.3	2024	 	 	 	 	 
2	 	0013	-2.3	0301	0546	+1.4	0846	1236	-2.4	1529	1809	+1.4	2107	 	 
3	 	0049	-2.3	0342	0625	+1.4	0929	1310	-2.4	1608	1846	+1.4	2148	 	 
4	 	0122	-2.4	0422	0701	+1.4	1009	1342	-2.4	1646	1920	+1.4	2227	 	 
5	 	0156	-2.4	0500	0736	+1.4	1048	1416	-2.4	1723	1955	+1.4	2305	 	 
6	 	0231	-2.4	0537	0811	+1.4	1126	1452	-2.4	1800	2030	+1.4	2343	 	 
7	 	0308	-2.4	0614	0847	+1.4	1204	1529	-2.4	1836	2106	+1.4	 	 	 
8	0021	0346	-2.4	0652	0925	+1.4	1243	1608	-2.4	1914	2144	+1.3	 	 	 
9	0100	0427	-2.3	0732	1006	+1.3	1324	1650	-2.2	1953	2226	+1.2	 	 	 
10	0142	0511	-2.2	0815	1050	+1.2	1408	1735	-2.2	2036	2312	+1.2	 	 	 
11	0228	0559	-2.2	0905	1139	+1.2	1458	1824	-2.1	2125	 	 	 	 	 
12	 	0003	+1.2	0321	0651	-2.2	1001	1234	+1.2	1553	1918	-2.1	2221	 	 
13	 	0100	+1.2	0419	0748	-2.2	1102	1333	+1.2	1652	2016	-2.1	2322	 	 
14	 	0200	+1.2	0520	0848	-2.2	1203	1435	+1.2	1753	2116	-2.2	 	 	 
15	0023	0302	+1.3	0621	0949	-2.4	1303	1536	+1.3	1852	2217	-2.3	 	 	 
16	0122	0402	+1.4	0720	1049	-2.5	1359	1633	+1.4	1948	2315	-2.5	 	 	 
17	0218	0458	+1.5	0815	1146	-2.5	1451	1727	+1.5	2041	 	 	 	 	 
18	 	0010	-2.5	0311	0552	+1.6	0909	1239	-2.6	1542	1819	+1.6	2133	 	 
19	 	0103	-2.6	0403	0644	+1.6	1001	1331	-2.6	1633	1909	+1.6	2224	 	 
20	 	0155	-2.6	0455	0735	+1.7	1052	1422	-2.6	1722	2000	+1.6	2315	 	 
21	 	0245	-2.6	0547	0826	+1.6	1143	1512	-2.6	1813	2050	+1.6	 	 	 
22	0006	0336	-2.6	0640	0918	+1.6	1236	1603	-2.5	1905	2143	+1.5	 	 	 
23	0059	0428	-2.5	0735	1013	+1.5	1330	1655	-2.4	2000	2238	+1.4	 	 	 
24	0154	0523	-2.4	0834	1111	+1.4	1426	1751	-2.2	2059	2338	+1.4	 	 	 
25	0253	0622	-2.2	0935	1215	+1.3	1526	1853	-2.1	2201	 	 	 	 	 
26	 	0044	+1.3	0354	0729	-2.1	1039	1323	+1.2	1628	2003	-2.0	2304	 	 
27	 	0153	+1.2	0456	0845	-2.1	1142	1430	+1.2	1728	2118	-2.0	 	 	 
28	0005	0257	+1.2	0556	0957	-2.1	1241	1529	+1.2	1825	2222	-2.0	 
1	0101	0353	+1.3	0651	1052	-2.1	1332	1620	+1.3	1916	2311	-2.1	 	 	 
2	0150	0441	+1.3	0740	1136	-2.2	1418	1704	+1.3	2001	2350	-2.2	 	 	 
